year,avg_temp,10-year MA
1843,8.17,
1844,7.65,
1845,7.85,
1848,7.98,
1849,7.98,
1850,7.9,
1851,8.18,
1852,8.1,7.97625
1853,8.04,7.96
1854,8.21,8.03
1855,8.11,8.0625
1856,8,8.055555556
1857,7.76,8.026
1858,8.1,8.038
1859,8.25,8.065
1860,7.96,8.071
1861,7.85,8.038
1862,7.56,7.984
1863,8.11,7.991
1864,7.98,7.968
1865,8.18,7.975
1866,8.29,8.004
1867,8.44,8.072
1868,8.25,8.087
1869,8.43,8.105
1870,8.2,8.129
1871,8.12,8.156
1872,8.19,8.219
1873,8.35,8.243
1874,8.43,8.288
1875,7.86,8.256
1876,8.08,8.235
1877,8.54,8.245
1878,8.83,8.303
1879,8.17,8.277
1880,8.12,8.269
1881,8.27,8.284
1882,8.13,8.278
1883,7.98,8.241
1884,7.77,8.175
1885,7.92,8.181
1886,7.95,8.168
1887,7.91,8.105
1888,8.09,8.031
1889,8.32,8.046
1890,7.97,8.031
1891,8.02,8.006
1892,8.07,8
1893,8.06,8.008
1894,8.16,8.047
1895,8.15,8.07
1896,8.21,8.096
1897,8.29,8.134
1898,8.18,8.143
1899,8.4,8.151
1900,8.5,8.204
1901,8.54,8.256
1902,8.3,8.279
1903,8.22,8.295
1904,8.09,8.288
1905,8.23,8.296
1906,8.38,8.313
1907,7.95,8.279
1908,8.19,8.28
1909,8.18,8.258
1910,8.22,8.23
1911,8.18,8.194
1912,8.17,8.181
1913,8.3,8.189
1914,8.59,8.239
1915,8.59,8.275
1916,8.23,8.26
1917,8.02,8.267
1918,8.13,8.261
1919,8.38,8.281
1920,8.36,8.295
1921,8.57,8.334
1922,8.41,8.358
1923,8.42,8.37
1924,8.51,8.362
1925,8.53,8.356
1926,8.73,8.406
1927,8.52,8.456
1928,8.63,8.506
1929,8.24,8.492
1930,8.63,8.519
1931,8.72,8.534
1932,8.71,8.564
1933,8.34,8.556
1934,8.63,8.568
1935,8.52,8.567
1936,8.55,8.549
1937,8.7,8.567
1938,8.86,8.59
1939,8.76,8.642
1940,8.76,8.655
1941,8.77,8.66
1942,8.73,8.662
1943,8.76,8.704
1944,8.85,8.726
1945,8.58,8.732
1946,8.68,8.745
1947,8.8,8.755
1948,8.75,8.744
1949,8.59,8.727
1950,8.37,8.688
1951,8.63,8.674
1952,8.64,8.665
1953,8.87,8.676
1954,8.56,8.647
1955,8.63,8.652
1956,8.28,8.612
1957,8.73,8.605
1958,8.77,8.607
1959,8.73,8.621
1960,8.58,8.642
1961,8.8,8.659
1962,8.75,8.67
1963,8.86,8.669
1964,8.41,8.654
1965,8.53,8.644
1966,8.6,8.676
1967,8.7,8.673
1968,8.52,8.648
1969,8.6,8.635
1970,8.7,8.647
1971,8.6,8.627
1972,8.5,8.602
1973,8.95,8.611
1974,8.47,8.617
1975,8.74,8.638
1976,8.35,8.613
1977,8.85,8.628
1978,8.69,8.645
1979,8.73,8.658
1980,8.98,8.686
1981,9.17,8.743
1982,8.64,8.757
1983,9.03,8.765
1984,8.69,8.787
1985,8.66,8.779
1986,8.83,8.827
1987,8.99,8.841
1988,9.2,8.892
1989,8.92,8.911
1990,9.23,8.936
1991,9.18,8.937
1992,8.84,8.957
1993,8.87,8.941
1994,9.04,8.976
1995,9.35,9.045
1996,9.04,9.066
1997,9.2,9.087
1998,9.52,9.119
1999,9.29,9.156
2000,9.2,9.153
2001,9.41,9.176
2002,9.57,9.249
2003,9.53,9.315
2004,9.32,9.343
2005,9.7,9.378
2006,9.53,9.427
2007,9.73,9.48
2008,9.43,9.471
2009,9.51,9.493
2010,9.7,9.543
2011,9.52,9.554
2012,9.51,9.548
2013,9.61,9.556
