year,avg_temp,10-year MA
1843,24.74,
1844,15.45,
1845,20.82,
1848,24.56,
1849,24.8,
1850,24.34,
1851,25.03,
1852,24.85,
1853,24.93,
1854,24.72,23.424
1855,24.92,23.442
1856,24.57,24.354
1857,24.26,24.698
1858,25.01,24.743
1859,24.95,24.758
1860,24.94,24.818
1861,24.13,24.728
1862,23.77,24.62
1863,24.28,24.555
1864,25.03,24.586
1865,25.23,24.617
1866,24.92,24.652
1867,25.22,24.748
1868,25,24.747
1869,25.3,24.782
1870,25.02,24.79
1871,24.73,24.85
1872,24.87,24.96
1873,25.24,25.056
1874,24.98,25.051
1875,24.43,24.971
1876,24.89,24.968
1877,25.47,24.993
1878,25.51,25.044
1879,25.24,25.038
1880,24.8,25.016
1881,25.63,25.106
1882,24.66,25.085
1883,25.19,25.08
1884,24.8,25.062
1885,24.98,25.117
1886,24.98,25.126
1887,24.81,25.06
1888,25.13,25.022
1889,25.52,25.05
1890,25.07,25.077
1891,25.39,25.053
1892,25.22,25.109
1893,25.19,25.109
1894,24.66,25.095
1895,24.69,25.066
1896,24.88,25.056
1897,24.86,25.061
1898,24.88,25.036
1899,25.12,24.996
1900,25.29,25.018
1901,25.55,25.034
1902,25.25,25.037
1903,24.64,24.982
1904,25.07,25.023
1905,24.87,25.041
1906,24.85,25.038
1907,24.44,24.996
1908,24.95,25.003
1909,25.57,25.048
1910,24.75,24.994
1911,24.24,24.863
1912,24.96,24.834
1913,24.63,24.833
1914,24.94,24.82
1915,25.38,24.871
1916,24.85,24.871
1917,25.03,24.93
1918,24.66,24.901
1919,25.39,24.883
1920,24.94,24.902
1921,24.84,24.962
1922,25.35,25.001
1923,25.1,25.048
1924,25.69,25.123
1925,25,25.085
1926,25.19,25.119
1927,25.29,25.145
1928,25.39,25.218
1929,25.36,25.215
1930,25.39,25.26
1931,25.38,25.314
1932,24.96,25.275
1933,24.67,25.232
1934,24.97,25.16
1935,25.61,25.221
1936,25.15,25.217
1937,25.08,25.196
1938,25.11,25.168
1939,25.16,25.148
1940,25.51,25.16
1941,25.37,25.159
1942,25.49,25.212
1943,24.96,25.241
1944,25.6,25.304
1945,25.3,25.273
1946,25.49,25.307
1947,26,25.399
1948,24.85,25.373
1949,24.82,25.339
1950,24.98,25.286
1951,26.1,25.359
1952,25.72,25.382
1953,25.51,25.437
1954,25.8,25.457
1955,25.33,25.46
1956,25.02,25.413
1957,24.69,25.282
1958,25.64,25.361
1959,24.14,25.293
1960,25.67,25.362
1961,25.12,25.264
1962,26.1,25.302
1963,25.54,25.305
1964,25.14,25.239
1965,25.59,25.265
1966,26.16,25.379
1967,24.87,25.397
1968,25.21,25.354
1969,26.05,25.545
1970,25.84,25.562
1971,24.93,25.543
1972,24.74,25.407
1973,25.6,25.413
1974,25.4,25.439
1975,25.04,25.384
1976,24.97,25.265
1977,25.99,25.377
1978,25.95,25.451
1979,26.2,25.466
1980,25.83,25.465
1981,25.95,25.567
1982,24.62,25.555
1983,24.85,25.48
1984,25.05,25.445
1985,25.3,25.471
1986,25.36,25.51
1987,26.37,25.548
1988,25.99,25.552
1989,25.05,25.437
1990,25.7,25.424
1991,25.43,25.372
1992,24.37,25.347
1993,25.42,25.404
1994,26.08,25.507
1995,25.64,25.541
1996,26.28,25.633
1997,25.49,25.545
1998,26.73,25.619
1999,26.92,25.806
2000,26.55,25.891
2001,26.67,26.015
2002,26.44,26.222
2003,26.62,26.342
2004,26.2,26.354
2005,26.27,26.417
2006,26.24,26.413
2007,26.49,26.513
2008,26.21,26.461
2009,26.71,26.44
2010,27.37,26.522
2011,26.4,26.495
2012,26.83,26.534
2013,27.78,26.65
